filename,ssim,psnr,status
EES0429210__X1E__Y09.jpg,0.887231,25.136457,ok
EES0429210__X1E__Y33.jpg,0.670145,21.139886,ok
EES0429210__X1E__Y3C.jpg,0.847491,26.456224,ok
EES0429210__X21__Y3C.jpg,0.741627,22.994706,ok
EES0429210__X24__Y3F.jpg,0.939445,33.759522,ok
EES0429210__X27__Y3F.jpg,0.851150,23.925038,ok
EES0429210__X2A__Y09.jpg,0.753680,21.718318,ok
EES0429210__X2A__Y3F.jpg,0.777948,22.821232,ok
EES0429210__X2D__Y3C.jpg,0.809869,25.533619,ok
EES0429210__X2D__Y3F.jpg,0.774753,22.355165,ok
EES0429210__X30__Y09.jpg,0.936302,36.179965,ok
EES0429210__X30__Y3C.jpg,0.788355,24.384820,ok
EES0429210__X36__Y33.jpg,0.786124,23.060675,ok
EES0429210__X36__Y36.jpg,0.810401,22.585515,ok
EES0429210__X36__Y39.jpg,0.854395,26.356161,ok
EES0429210__X39__Y36.jpg,0.852146,25.593739,ok
EES0429210__X39__Y39.jpg,0.829518,25.275674,ok
EES0429210__X3C__Y2A.jpg,0.802499,22.146593,ok
EES0429210__X3F__Y30.jpg,0.894995,26.819884,ok
EES0429210__X42__Y21.jpg,0.812875,23.120499,ok
EES0429210__X42__Y2A.jpg,0.880041,27.643834,ok
EES0429211__X0C__Y12.jpg,0.919308,27.495379,ok
EES0429211__X0C__Y1E.jpg,0.825601,23.078331,ok
EES0429211__X0F__Y18.jpg,0.803746,22.212901,ok
EES0429211__X0F__Y1B.jpg,0.845880,24.494455,ok
EES0429211__X0F__Y24.jpg,0.801008,22.051743,ok
EES0429211__X0F__Y27.jpg,0.834319,25.624907,ok
EES0429211__X12__Y0F.jpg,0.928208,33.347338,ok
EES0429211__X12__Y2D.jpg,0.804290,22.667219,ok
EES0429211__X12__Y33.jpg,0.904492,28.117340,ok
EES0429211__X15__Y0C.jpg,0.812484,22.125028,ok
EES0429211__X15__Y36.jpg,0.877959,25.108393,ok
EES0429211__X18__Y06.jpg,0.896053,25.227674,ok
EES0429211__X18__Y36.jpg,0.894459,26.291550,ok
EES0429211__X18__Y39.jpg,0.866575,25.581046,ok
EES0429211__X1B__Y3C.jpg,0.837740,23.658998,ok
EES0429211__X1E__Y03.jpg,0.901779,24.149463,ok
EES0429211__X1E__Y39.jpg,0.858975,23.961722,ok
EES0429211__X27__Y3C.jpg,0.801913,22.356597,ok
EES0429211__X27__Y3F.jpg,0.941927,28.738156,ok
EES0429211__X2A__Y3C.jpg,0.841492,25.196959,ok
EES0429211__X2A__Y3F.jpg,0.912105,24.741295,ok
