filename,ssim,psnr,status
EES0429210__X15__Y21.jpg,0.525380,16.776678,ok
EES0429210__X15__Y27.jpg,0.503586,14.365353,ok
EES0429210__X15__Y30.jpg,0.553284,15.054050,ok
EES0429210__X15__Y33.jpg,0.838223,22.030615,ok
EES0429210__X15__Y36.jpg,0.692862,20.144479,ok
EES0429210__X18__Y0F.jpg,0.760504,21.552654,ok
EES0429210__X18__Y1E.jpg,0.607224,19.212651,ok
EES0429210__X18__Y21.jpg,0.555222,15.492300,ok
EES0429210__X18__Y33.jpg,0.582899,17.827843,ok
EES0429210__X18__Y36.jpg,0.822188,21.859589,ok
EES0429210__X18__Y39.jpg,0.931323,27.189840,ok
EES0429210__X1B__Y0C.jpg,0.663360,17.945320,ok
EES0429210__X1B__Y36.jpg,0.551281,15.673659,ok
EES0429210__X1B__Y39.jpg,0.640210,19.302899,ok
EES0429210__X1E__Y09.jpg,0.863780,20.927309,ok
EES0429210__X1E__Y33.jpg,0.492755,14.550048,ok
EES0429210__X1E__Y3C.jpg,0.819213,22.973795,ok
EES0429210__X21__Y3C.jpg,0.585509,14.823194,ok
EES0429210__X24__Y3F.jpg,0.952951,29.064124,ok
EES0429210__X27__Y3F.jpg,0.735068,15.968618,ok
EES0429210__X2A__Y09.jpg,0.566485,15.265896,ok
EES0429210__X2A__Y3F.jpg,0.548441,14.339653,ok
EES0429210__X2D__Y3C.jpg,0.677603,18.727532,ok
EES0429210__X2D__Y3F.jpg,0.630973,18.951849,ok
EES0429210__X30__Y09.jpg,0.961733,30.051505,ok
EES0429210__X30__Y3C.jpg,0.694650,19.087276,ok
EES0429210__X36__Y33.jpg,0.696630,20.042286,ok
EES0429210__X36__Y36.jpg,0.666742,14.930167,ok
EES0429210__X36__Y39.jpg,0.765847,19.395700,ok
EES0429210__X39__Y36.jpg,0.800532,22.391424,ok
EES0429210__X39__Y39.jpg,0.716194,17.703431,ok
EES0429210__X3C__Y2A.jpg,0.708209,18.436582,ok
EES0429210__X3F__Y30.jpg,0.907017,20.910362,ok
EES0429210__X42__Y21.jpg,0.640550,16.630836,ok
EES0429210__X42__Y2A.jpg,0.847910,22.352961,ok
EES0429211__X0C__Y12.jpg,0.934563,25.782704,ok
EES0429211__X0C__Y1E.jpg,0.724535,15.477551,ok
EES0429211__X0F__Y18.jpg,0.682820,15.180265,ok
EES0429211__X0F__Y1B.jpg,0.779424,20.365738,ok
EES0429211__X0F__Y24.jpg,0.714745,16.773720,ok
EES0429211__X0F__Y27.jpg,0.730462,18.119930,ok
EES0429211__X12__Y0F.jpg,0.951082,29.749857,ok
EES0429211__X12__Y2D.jpg,0.697459,15.374659,ok
EES0429211__X12__Y33.jpg,0.923606,24.512058,ok
