filename,ssim,psnr,status
EES0429242__X3C__Y18.jpg,0.780590,24.434030,ok
EES0429242__X3C__Y1B.jpg,0.773838,24.853230,ok
EES0429242__X3C__Y24.jpg,0.757641,24.996898,ok
EES0429242__X3C__Y30.jpg,0.770486,25.471842,ok
EES0429242__X3C__Y33.jpg,0.780943,26.320413,ok
EES0429242__X3C__Y36.jpg,0.828580,25.962584,ok
EES0429242__X3F__Y15.jpg,0.878380,29.065828,ok
EES0429242__X3F__Y18.jpg,0.913246,29.408019,ok
EES0429242__X3F__Y1B.jpg,0.793323,24.230593,ok
EES0429242__X3F__Y1E.jpg,0.763156,25.414303,ok
EES0429242__X3F__Y21.jpg,0.737378,24.022309,ok
EES0429242__X3F__Y27.jpg,0.779917,24.488154,ok
EES0429242__X3F__Y2A.jpg,0.778485,24.996630,ok
EES0429242__X3F__Y30.jpg,0.814344,26.428478,ok
EES0429242__X42__Y1B.jpg,0.866961,29.347890,ok
EES0429242__X42__Y21.jpg,0.876330,25.959344,ok
EES0429242__X42__Y24.jpg,0.810136,24.951502,ok
EES0429242__X42__Y27.jpg,0.861366,24.211342,ok
EES0429242__X42__Y2A.jpg,0.820923,25.786451,ok
EES0429248__X12__Y1E.jpg,0.717566,21.795467,ok
EES0429248__X1B__Y33.jpg,0.661407,20.815475,ok
EES0429248__X1E__Y09.jpg,0.686644,22.296067,ok
EES0429248__X1E__Y0C.jpg,0.637625,21.111733,ok
EES0429248__X1E__Y36.jpg,0.720751,23.233789,ok
EES0429248__X1E__Y39.jpg,0.731710,21.612442,ok
EES0429248__X24__Y36.jpg,0.737645,21.772379,ok
EES0429248__X27__Y33.jpg,0.766695,21.856167,ok
EES0429248__X2A__Y06.jpg,0.794224,22.159042,ok
EES0429248__X2D__Y30.jpg,0.818551,23.470195,ok
EES0429248__X2D__Y33.jpg,0.678302,21.373270,ok
EES0429248__X2D__Y36.jpg,0.823068,23.809024,ok
EES0429248__X2D__Y3C.jpg,0.801262,22.500436,ok
EES0429248__X30__Y36.jpg,0.734164,21.475794,ok
EES0429248__X33__Y0C.jpg,0.773337,21.843227,ok
EES0429248__X33__Y0F.jpg,0.665267,21.025195,ok
EES0429248__X33__Y21.jpg,0.761596,22.536949,ok
EES0429248__X36__Y12.jpg,0.793370,22.072016,ok
EES0429248__X36__Y1B.jpg,0.697316,21.520668,ok
EES0429248__X36__Y21.jpg,0.770615,22.119679,ok
EES0429248__X36__Y27.jpg,0.805980,25.061568,ok
EES0429248__X36__Y2A.jpg,0.786339,22.264527,ok
EES0429248__X39__Y0C.jpg,0.832813,24.294153,ok
EES0429248__X39__Y0F.jpg,0.787219,22.974056,ok
EES0429248__X39__Y15.jpg,0.804729,23.493847,ok
EES0429248__X39__Y1E.jpg,0.795488,22.067277,ok
EES0429248__X39__Y21.jpg,0.883936,24.148430,ok
EES0429248__X3C__Y12.jpg,0.856475,23.961162,ok
EES0429248__X3C__Y18.jpg,0.747586,23.362958,ok
EES0429248__X3C__Y1B.jpg,0.773563,22.323486,ok
EES0429248__X3C__Y1E.jpg,0.852105,23.995261,ok
EES0429248__X3C__Y27.jpg,0.776705,21.980983,ok
EES0429248__X3C__Y2A.jpg,0.810022,24.855631,ok
EES0429248__X3F__Y12.jpg,0.877849,27.566878,ok
EES0429248__X3F__Y18.jpg,0.849941,23.310001,ok
EES0429248__X3F__Y1B.jpg,0.775090,22.046475,ok
EES0429248__X3F__Y21.jpg,0.838320,23.671836,ok
EES0429248__X3F__Y27.jpg,0.874136,24.048241,ok
EES0429248__X3F__Y2A.jpg,0.890439,24.316680,ok
EES0429248__X3F__Y2D.jpg,0.864034,25.518101,ok
EES0429248__X42__Y21.jpg,0.813065,23.152950,ok
EHG0494799__X27__Y30.jpg,0.906899,22.961523,ok
EHG0494799__X2A__Y30.jpg,0.904998,23.803319,ok
EHG0494799__X2A__Y36.jpg,0.944758,24.209633,ok
EHG0494799__X2D__Y2A.jpg,0.904122,23.275879,ok
EHG0494799__X2D__Y30.jpg,0.937229,24.714250,ok
EHG0494799__X2D__Y36.jpg,0.870898,23.028896,ok
EHG0494799__X30__Y24.jpg,0.879098,23.120694,ok
EHG0494799__X30__Y27.jpg,0.839475,22.850637,ok
EHG0494799__X30__Y33.jpg,0.915355,24.450473,ok
EHG0494799__X33__Y21.jpg,0.904726,23.479823,ok
EHG0494799__X33__Y24.jpg,0.911393,24.546445,ok
EHG0494799__X33__Y27.jpg,0.832565,22.735594,ok
EHG0494799__X33__Y2A.jpg,0.921459,24.426864,ok
EHG0494799__X33__Y30.jpg,0.883371,24.328182,ok
