filename,ssim,psnr,status
EHG0494826__X27__Y03.jpg,0.963450,26.972231,ok
EHG0494826__X2A__Y03.jpg,0.967162,23.889500,ok
EHG0494826__X42__Y21.jpg,0.930777,23.289533,ok
EHG0494829__X48__Y06.jpg,0.969691,26.202655,ok
EHG0494829__X48__Y09.jpg,0.970867,26.195474,ok
EHG0494829__X48__Y0C.jpg,0.963490,25.952575,ok
EHG0494829__X48__Y0F.jpg,0.974154,26.222570,ok
EHG0494829__X48__Y12.jpg,0.968290,26.244741,ok
EHG0494829__X48__Y15.jpg,0.969115,26.130591,ok
EHG0494829__X48__Y18.jpg,0.965783,26.655184,ok
EHG0494829__X48__Y1B.jpg,0.972837,26.446263,ok
EHG0494829__X48__Y1E.jpg,0.973141,26.585415,ok
EHG0494829__X48__Y21.jpg,0.969325,26.098333,ok
EHG0494829__X48__Y24.jpg,0.976994,26.482983,ok
EHG0494829__X48__Y27.jpg,0.968406,23.716263,ok
EHG0494836__X03__Y18.jpg,0.956915,24.822523,ok
EHG0494836__X03__Y1B.jpg,0.953607,27.070218,ok
EHG0494836__X24__Y45.jpg,0.913027,26.092198,ok
EHG0494836__X27__Y06.jpg,0.945230,25.962793,ok
EHG0494836__X27__Y45.jpg,0.932734,24.605862,ok
EHG0494836__X2A__Y06.jpg,0.927515,23.681850,ok
EHG0494836__X2A__Y45.jpg,0.934391,26.866078,ok
EHG0494836__X2D__Y45.jpg,0.969284,26.193674,ok
EHG0494836__X30__Y48.jpg,0.961259,24.263750,ok
EHG0494836__X33__Y42.jpg,0.972178,23.669499,ok
EHG0494836__X36__Y09.jpg,0.966640,24.266659,ok
EHG0494836__X3F__Y1B.jpg,0.943055,24.054273,ok
EHG0494836__X42__Y2A.jpg,0.955271,23.409119,ok
EHG0494836__X42__Y2D.jpg,0.934034,24.600696,ok
EHG0494836__X45__Y18.jpg,0.960754,25.656774,ok
EHG0494836__X45__Y1B.jpg,0.970190,26.769700,ok
EHG0494836__X45__Y21.jpg,0.969813,23.524500,ok
EHG0494836__X45__Y2D.jpg,0.970721,24.903048,ok
EHG0494837__X06__Y0C.jpg,0.967527,24.712571,ok
EHG0494837__X06__Y18.jpg,0.920821,25.124124,ok
EHG0494837__X06__Y1B.jpg,0.962092,28.112030,ok
EHG0494837__X06__Y1E.jpg,0.930956,26.393498,ok
EHG0494837__X06__Y21.jpg,0.902079,25.230860,ok
EHG0494837__X06__Y24.jpg,0.949882,27.115889,ok
EHG0494837__X06__Y27.jpg,0.886359,24.203863,ok
EHG0494837__X06__Y2A.jpg,0.937557,26.411541,ok
EHG0494837__X06__Y2D.jpg,0.880201,24.684668,ok
EHG0494837__X06__Y30.jpg,0.916268,25.679898,ok
EHG0494837__X06__Y33.jpg,0.880449,25.615637,ok
EHG0494837__X06__Y36.jpg,0.951992,25.164174,ok
EHG0494837__X09__Y15.jpg,0.894630,22.899243,ok
EHG0494837__X09__Y18.jpg,0.901401,23.152892,ok
EHG0494837__X09__Y1B.jpg,0.932473,23.920896,ok
EHG0494837__X09__Y30.jpg,0.912449,23.310974,ok
EHG0494837__X09__Y33.jpg,0.942958,25.659871,ok
EHG0494837__X09__Y36.jpg,0.961952,25.841437,ok
